 Output of initial values
 ISTEP=           0 DPDXB=  0.000000000000000E+000 DPREF=
  0.000000000000000E+000
 FAC=   1.33038289509454     


           Y/Y.5      U       DUDY          TK          TP12        TP11        TP22      TP33         Y+         U+       XMUL     XMULM
   1    0.000E+00  0.000E+00  1.378E-01  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E-03  1.111E-03
   2    1.634E-04  5.990E-05  1.378E-01  2.877E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.151E-01  0.000E+00  1.000E-03  1.111E-03
   3    3.480E-04  1.276E-04  1.378E-01  6.129E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.451E-01  0.000E+00  1.000E-03  1.111E-03
   4    5.566E-04  2.041E-04  1.378E-01  9.803E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.920E-01  0.000E+00  1.000E-03  1.111E-03
   5    7.923E-04  2.905E-04  1.378E-01  1.395E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.581E-01  0.000E+00  1.000E-03  1.111E-03
   6    1.059E-03  3.882E-04  1.378E-01  1.865E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.457E-01  0.000E+00  1.000E-03  1.111E-03
   7    1.360E-03  4.985E-04  1.378E-01  2.395E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.577E-01  0.000E+00  1.000E-03  1.111E-03
   8    1.700E-03  6.232E-04  1.378E-01  2.994E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.197E+00  0.000E+00  1.000E-03  1.111E-03
   9    2.084E-03  7.641E-04  1.378E-01  3.671E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.468E+00  0.000E+00  1.000E-03  1.111E-03
  10    2.518E-03  9.234E-04  1.378E-01  4.436E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.774E+00  0.000E+00  1.000E-03  1.111E-03
  11    3.009E-03  1.103E-03  1.378E-01  5.300E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.120E+00  0.000E+00  1.000E-03  1.111E-03
  12    3.564E-03  1.307E-03  1.378E-01  6.277E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.510E+00  0.000E+00  1.000E-03  1.111E-03
  13    4.190E-03  1.536E-03  1.378E-01  7.380E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.952E+00  0.000E+00  1.000E-03  1.111E-03
  14    4.898E-03  1.796E-03  1.378E-01  8.627E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.450E+00  0.000E+00  1.000E-03  1.111E-03
  15    5.699E-03  2.089E-03  1.378E-01  1.004E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.014E+00  0.000E+00  1.000E-03  1.111E-03
  16    6.603E-03  2.421E-03  1.378E-01  1.163E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.651E+00  0.000E+00  1.000E-03  1.111E-03
  17    7.625E-03  2.796E-03  1.378E-01  1.343E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.370E+00  0.000E+00  1.000E-03  1.111E-03
  18    8.779E-03  3.219E-03  1.378E-01  1.546E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.184E+00  0.000E+00  1.000E-03  1.111E-03
  19    1.008E-02  3.697E-03  1.378E-01  1.776E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.103E+00  0.000E+00  1.000E-03  1.111E-03
  20    1.156E-02  4.238E-03  1.378E-01  2.036E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.141E+00  0.000E+00  1.000E-03  1.111E-03
  21    1.322E-02  4.848E-03  1.378E-01  2.329E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.314E+00  0.000E+00  1.000E-03  1.111E-03
  22    1.511E-02  5.539E-03  1.378E-01  2.661E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.064E+01  0.000E+00  1.000E-03  1.111E-03
  23    1.723E-02  5.771E-03  2.769E-02  3.035E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.214E+01  0.000E+00  1.000E-03  1.111E-03
