CALFA0 =  0.000   CALFA1A =  0.000   CALFA1B =  0.000   CALFA2 =  0.000   CALFA3A =  0.000   CALFA3B =  0.000   CALFA4 =0.0000000
CALFA5 =  0.000   CGAMA1 =  0.000   CGAMA2 =  0.000   CEXP3 =0.0002664   CALFA14 =0.0001500
CBETA0 =  0.000   CBETA1 =  0.650   CBETA2 =  0.000   CBETA3 =  0.000   CBETA4 =  0.000   CBETA5 =  0.000   CBETA6 =  0.000   CBETA7 =  0.180
 
LAMBDA =144.22000000   L**2 =  900.000   VISP = 0.000111   VISS = 0.001000   UREF = 0.00873   ICCOUNT =        0
 
        ITER = 40500        XU=  0.000E+00        XD=  0.000E+00        DX=  1.000E+30       NYUX= 50

          DELTA =  1.000E+00          DIAM  =  2.000E+00          MASS  =  1.746E+01          REBULK=  1.632E+04
          DPDX  = -1.926E-04          UMAX  =  1.012E-02          RO    =  0.000E+00          REMX  =  9.465E+03
          TAUWB =  1.926E-04          USB   =  4.388E-04          CFB   =  3.757E-03         USB/UMX=  4.334E-02
          TAUWT =  1.926E-04          UST   =  4.388E-04          CFT   =  3.757E-03         UST/UMX=  4.334E-02
          FDARCY=  2.022E-02         VISWALB=  1.070E-03         VISWALT=  1.070E-03
ReTau =    410.23   ReTau0 =    395.00   Remed =   7855.99   WeTau =     25.96   Wetau0 =     25.00   Wemed =      1.26


     I        Y+        U+        K+     EDtilde+       ED+    DU+DY*        UV+       FMUNLT        Y/Y.5      U/UM      TEEV+        TP12+       TP11+       TP22+     TP33+       XMUL        XMULM       C11         C22         C33          C12         C31        fCmm          CU112      CU122       CU222      CU332       CUii2+         UC22        VC22         QV       TLN11*       TLN22*      TLN33*       TLNii*      TLN12*     XMUTP12        M11        M12       TS12+     SUMSTRESS+
   1    0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.897E-02  4.102E+02  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00     6.520E-02   2.127E+00  -9.372E-11  -9.372E-11   1.000E-03   1.070E-03   3.351E+02   6.284E-01   6.284E-01   1.025E+01   0.000E+00   1.591E+00     0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -2.229E-10   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   6.975E-05    3.691E+00  1.131E-01  9.348E-01  1.000E+00
   2    1.340E-01  1.340E-01  3.605E-04  2.157E-03  4.590E-02  4.101E+02 -1.434E-10  2.545E-05  1.634E-04  6.739E-03  8.215E-11     6.519E-02   2.127E+00   7.174E-10   7.634E-10   1.000E-03   1.070E-03   3.350E+02   6.284E-01   6.284E-01   1.025E+01   0.000E+00   1.591E+00    -1.267E-07   5.947E-08   7.758E-09   0.000E+00  -2.710E-04  -7.696E-07   3.879E-09  -4.726E-10   3.583E-06   3.220E-06   3.401E-06   1.020E-05  -3.959E-06   6.975E-05    3.690E+00  1.131E-01  9.346E-01  9.998E-01
   3    2.855E-01  2.854E-01  1.863E-03  2.718E-03  5.362E-02  4.099E+02 -1.369E-08  1.148E-04  3.480E-04  1.435E-02  1.914E-09     6.517E-02   2.126E+00   1.887E-08   1.994E-08   1.000E-03   1.070E-03   3.349E+02   6.286E-01   6.286E-01   1.025E+01   0.000E+00   1.591E+00    -6.115E-07   2.872E-07   3.740E-08   0.000E+00  -1.308E-03  -1.750E-06   1.870E-08  -1.047E-09   8.351E-05   7.504E-05   7.927E-05   2.378E-04  -9.221E-05   6.977E-05    3.688E+00  1.131E-01  9.341E-01  9.993E-01
   4    4.566E-01  4.564E-01  5.086E-03  3.502E-03  5.739E-02  4.098E+02 -2.013E-07  2.919E-04  5.566E-04  2.295E-02  1.328E-08     6.516E-02   2.125E+00   1.316E-07   1.390E-07   1.000E-03   1.070E-03   3.348E+02   6.287E-01   6.287E-01   1.025E+01   0.000E+00   1.591E+00    -1.611E-06   7.566E-07   9.835E-08   0.000E+00  -3.447E-03  -2.892E-06   4.917E-08  -1.715E-09   5.795E-04   5.207E-04   5.501E-04   1.650E-03  -6.396E-04   6.978E-05    3.686E+00  1.130E-01  9.337E-01  9.989E-01
   5    6.500E-01  6.495E-01  1.081E-02  4.505E-03  6.131E-02  4.096E+02 -1.422E-06  5.872E-04  7.923E-04  3.266E-02  5.679E-08     6.515E-02   2.124E+00   5.632E-07   5.949E-07   1.000E-03   1.070E-03   3.347E+02   6.289E-01   6.289E-01   1.025E+01   0.000E+00   1.590E+00    -3.332E-06   1.562E-06   2.025E-07   0.000E+00  -7.130E-03  -4.218E-06   1.012E-07  -2.492E-09   2.479E-03   2.227E-03   2.353E-03   7.058E-03  -2.735E-03   6.980E-05    3.684E+00  1.130E-01  9.333E-01  9.984E-01
   6    8.686E-01  8.677E-01  2.013E-02  5.754E-03  6.566E-02  4.093E+02 -6.831E-06  1.040E-03  1.059E-03  4.363E-02  1.872E-07     6.514E-02   2.122E+00   1.857E-06   1.961E-06   1.000E-03   1.070E-03   3.346E+02   6.292E-01   6.292E-01   1.025E+01   0.000E+00   1.590E+00    -6.050E-06   2.821E-06   3.636E-07   0.000E+00  -1.296E-02  -5.758E-06   1.818E-07  -3.398E-09   8.174E-03   7.343E-03   7.755E-03   2.327E-02  -9.011E-03   6.984E-05    3.682E+00  1.130E-01  9.327E-01  9.979E-01
   7    1.116E+00  1.114E+00  3.456E-02  7.295E-03  7.063E-02  4.090E+02 -2.592E-05  1.699E-03  1.360E-03  5.601E-02  5.252E-07     6.515E-02   2.122E+00   5.211E-06   5.501E-06   1.000E-03   1.070E-03   3.345E+02   6.298E-01   6.298E-01   1.025E+01   0.000E+00   1.590E+00    -1.013E-05   4.654E-06   5.925E-07   0.000E+00  -2.174E-02  -7.550E-06   2.963E-07  -4.471E-09   2.294E-02   2.060E-02   2.175E-02   6.529E-02  -2.527E-02   6.990E-05    3.681E+00  1.130E-01  9.321E-01  9.973E-01
   8    1.395E+00  1.392E+00  5.620E-02  9.192E-03  7.639E-02  4.087E+02 -8.406E-05  2.628E-03  1.700E-03  6.999E-02  1.322E-06     6.521E-02   2.122E+00   1.312E-05   1.384E-05   1.000E-03   1.070E-03   3.346E+02   6.310E-01   6.311E-01   1.026E+01   0.000E+00   1.590E+00    -1.609E-05   7.102E-06   8.797E-07   0.000E+00  -3.465E-02  -9.646E-06   4.399E-07  -5.783E-09   5.777E-02   5.186E-02   5.471E-02   1.643E-01  -6.356E-02   7.003E-05    3.681E+00  1.132E-01  9.313E-01  9.966E-01
   9    1.710E+00  1.706E+00  8.802E-02  1.154E-02  8.311E-02  4.082E+02 -2.438E-04  3.905E-03  2.084E-03  8.578E-02  3.081E-06     6.537E-02   2.124E+00   3.056E-05   3.221E-05   1.000E-03   1.070E-03   3.347E+02   6.336E-01   6.338E-01   1.028E+01   0.000E+00   1.590E+00    -2.458E-05   9.869E-06   1.138E-06   0.000E+00  -5.342E-02  -1.211E-05   5.692E-07  -7.479E-09   1.347E-01   1.208E-01   1.273E-01   3.829E-01  -1.480E-01   7.029E-05    3.684E+00  1.135E-01  9.301E-01  9.957E-01
  10    2.066E+00  2.060E+00  1.341E-01  1.447E-02  9.089E-02  4.074E+02 -6.491E-04  5.626E-03  2.518E-03  1.036E-01  6.790E-06     6.573E-02   2.129E+00   6.729E-05   7.078E-05   1.000E-03   1.071E-03   3.353E+02   6.387E-01   6.393E-01   1.033E+01   0.000E+00   1.592E+00    -3.653E-05   1.156E-05   1.040E-06   0.000E+00  -8.087E-02  -1.503E-05   5.199E-07  -9.848E-09   2.971E-01   2.660E-01   2.798E-01   8.430E-01  -3.255E-01   7.081E-05    3.694E+00  1.142E-01  9.284E-01  9.947E-01
